"Type","KeyCite Treatment","KeyCite URL","Title","Document URL","Court Line","Filed Date","Citation","Cite Caveat","Parallel Cite","Docket Num","Summary","Search Snippet 1","Search Snippet 2",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ia4a86a75d5ee11e39488c8f438320c70&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Jones v. City of Boston","https://www.westlaw.com/Document/Ia4a86a75d5ee11e39488c8f438320c70/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, First Circuit.","May 07, 2014","752 F.3d 38","","2014 WL 1797829","=""12-2280""","LABOR AND EMPLOYMENT - Discrimination. Title VII did not require disparate impact plaintiffs to prove that observed differential was practically significant.","...The customary yardstick for making this latter determination is called  statistical significance. Statisticians employ a number of different methods to assess statistical significance in a variety of different contexts. Federal Judicial Center, Reference...","...occurred, assuming equal opportunity. 5 They call this probability the  p- value.  FJC Reference Manual at 250. Statisticians usually apply the label  statistically significant  to the observed differential outcomes if the p- value is less than five percent, see Fudge v. City of...",
"Cases","","","In re Columbia Laboratories, Inc., Securities Litigation","https://www.westlaw.com/Document/I81f452f1c86211e4a795ac035416da91/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Third Circuit.","March 10, 2015","602 Fed.Appx. 80","","2015 WL 1046166","=""13-4777""","SECURITIES REGULATION - Industry Regulation. Lack of FDA requirements on statistical significance defeated investors' claims that corporation misled them by failing to disclose that study did not meet requirements.","...facts that created strong inference that corporations knew benchmarks of statistical significance for study results would be required by Food and Drug...","...facts that created strong inference that corporations knew benchmarks of statistical significance for study results would be required by Food and Drug...",
"Cases","","","Paige v. California","https://www.westlaw.com/Document/I19022a3b057f11dcaf8dafd7ee2b8b26/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Ninth Circuit.","May 16, 2007","233 Fed.Appx. 646","","2007 WL 1454941","05-56061, 05-56064","LABOR AND EMPLOYMENT - Discrimination. Statistical evidence was insufficient to give rise to inference of race discrimination.","...any disparity above 1.96 standard deviations was indicative of statistical significance, and the 1.96 threshold conformed with accepted conventions in...","...by a preponderance of the evidence. A.Failure to clear statistical significance threshold The court rejected a statistical analysis by plaintiffs' expert...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I67508d26ac6911df952a80d2993fba83&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Stagi v. National R.R. Passenger Corp.","https://www.westlaw.com/Document/I67508d26ac6911df952a80d2993fba83/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Third Circuit.","August 16, 2010","391 Fed.Appx. 133","","2010 WL 3273173","=""09-3512""","LABOR AND EMPLOYMENT - Judgment. Issue as to whether employer's promotion requirement had disparate impact on female employees precluded summary judgment in Title VII action.","...This is typically done by the use of tests of statistical significance, which determine the probability of the observed disparity obtaining by chance. There are two related concepts associated with statistical significance: measures of probability levels and standard deviation.  Probability levels (also called  p- values ) are simply the probability that the observed disparity is random...","...alterations in original)). In addition to using formal measures of statistical significance, some courts have also relied upon the 80 percent rule...",
"Cases","","","In re Zoloft (Sertraline Hydrochloride) Products Liability Litigation","https://www.westlaw.com/Document/I78de752047bf11e7b7978f65e9bf93b3/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Third Circuit.","June 02, 2017","858 F.3d 787","","2017 WL 2385279","=""16-2247""","PRODUCTS LIABILITY - Experts. District court did not abuse its discretion in excluding plaintiffs' expert testimony on causation.","...district court did not erroneously conclude that reliability required replicated, statistically significant findings, and (2)  district court did not abuse its...","...district court did not erroneously conclude that reliability required replicated, statistically significant findings; court was instead making a factual finding after reviewing...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icfd3c704f09d11e1b11ea85d0b248d27&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Apsley v. Boeing Co.","https://www.westlaw.com/Document/Icfd3c704f09d11e1b11ea85d0b248d27/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Tenth Circuit.","August 27, 2012","691 F.3d 1184","","2012 WL 3642800","=""11-3238""","LABOR AND EMPLOYMENT - Discrimination. Statistics showed only isolated discrimination, rather than pattern or practice under Age Discrimination in Employment Act.","...though older workers were recommended and hired by buyer at statistically  significant lower rates than were younger workers, statistics showed that defendants...","...one director groups, Dr. Mann found that only four had statistically significant differences adverse to older employees. FN51 Dr. Mann's report showed, though...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I27cdfcc8f86211e1b60bb297d3d07bc5&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","In re Rigel Pharmaceuticals, Inc. Securities Litigation","https://www.westlaw.com/Document/I27cdfcc8f86211e1b60bb297d3d07bc5/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Ninth Circuit.","September 06, 2012","697 F.3d 869","","2012 WL 3858112","10-17619","SECURITIES REGULATION - Fraud. Investor failed to adequately plead falsity of issuer's statements.","...its oral syk kinase inhibitor, R788 (tamatinib fosdium), has demonstrated statistically significant results in treating Rheumatoid Arthritis (RA) patients in a recently...","...discussed some of the results.  When discussing efficacy and the statistical significance of the results, Dr. Grossbard stated: The p- values are uniformly less than .008, usually less than .001 We...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ib2cd5e42725411e4b86bd602cb8781fa&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Woodfox v. Cain","https://www.westlaw.com/Document/Ib2cd5e42725411e4b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fifth Circuit.","November 20, 2014","772 F.3d 358","","2014 WL 6600415","13-30266","CRIMINAL JUSTICE - Habeas Corpus. State court's rejection of equal protection challenge to selection of grand jury foreperson was not entitled to deference.","...B The State also argues that Woodfox failed to show statistical significance in the disparity. As both parties acknowledge, there are other...","...that standard deviations are not the appropriate method of measuring statistical significance. He argues next that under the more accurate one-tailed and two-tailed testing, he has shown statistical significance for both baselines. FN122. The State also argues that under...",
"Cases","","","City of Edinburgh Council v. Pfizer, Inc.","https://www.westlaw.com/Document/I3f2d0749edac11e39488c8f438320c70/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Third Circuit.","June 06, 2014","754 F.3d 159","","2014 WL 2535383","=""13-2314""","SECURITIES REGULATION - Fraud. Allegation that statements in press release were affirmatively false were insufficient to state claim of securities fraud.","...Wyeth disputes this allegation, arguing the Phase 2 results showed  statistically significant and clinically meaningful benefits among an important patient subgroupnon...","...it noted that based on [p]ost-hoc analyses, bapineuzumab showed  statistically significant and clinically meaningful benefits among non-carriers of the ApoE4...",
"Cases","","","POM Wonderful, LLC v. F.T.C.","https://www.westlaw.com/Document/I359fa5aca8b111e4b4bafa136b480ad2/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, District of Columbia Circuit.","January 30, 2015","777 F.3d 478","","2015 WL 394093","=""13-1060""","COMMERCIAL LAW - Advertising. Requirement in remedial order for clinical trial prior to advertising did not violate First Amendment.","...with at least two randomized, controlled, human clinical trials demonstrating statistically significant results lacked reasonable fit under free speech clause of First...","...with at least two randomized, controlled, human clinical trials demonstrating statistically significant results. POM and the associated parties petition for review of...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ifbe0d11ed83411e28502bda794601919&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Novo Nordisk A/S v. Caraco Pharmaceutical Laboratories, Ltd.","https://www.westlaw.com/Document/Ifbe0d11ed83411e28502bda794601919/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Federal Circuit.","June 18, 2013","719 F.3d 1346","","2013 WL 2991060","2011-1223","PATENTS - Drugs. Patent related to treatment for non-insulin dependent diabetes was invalid for obviousness.","...the repaglinide metformin group to calculate the probability (as a  p- value  3 ) that any glucose reduction caused by the combination therapy...","...attributable to synergistic rather than additive effects. Id. FN3. The p- value is a value that statisticians use to show the level...",
"Cases","","","Shea v. Kerry","https://www.westlaw.com/Document/Ied6658b73d3b11e590d4edf60ce7d742/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, District of Columbia Circuit.","August 07, 2015","796 F.3d 42","","2015 WL 4666350","=""13-5153""","LABOR AND EMPLOYMENT - Discrimination. State Department's affirmative action plan did not unnecessarily trammel the rights of non-minority job applicants.","...209, does not state what statistical test or standard of statistical significance the authors used, or indeed whether they used any statistical...","...suggest that they made an adjustment in the standard for statistical significance to account for the multiplicity of subgroups, as would be...",
