Title	Document.URL	Court.Line	Citation	Filed.Date	Summary
Jones v. City of Boston	https://www.westlaw.com/Document/Ia4a86a75d5ee11e39488c8f438320c70/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	752 F.3d 38	May 07, 2014	LABOR AND EMPLOYMENT - Discrimination. Title VII did not require disparate impact plaintiffs to prove that observed differential was practically significant.
In re Columbia Laboratories, Inc., Securities Litigation	https://www.westlaw.com/Document/I81f452f1c86211e4a795ac035416da91/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	602 Fed.Appx. 80	March 10, 2015	SECURITIES REGULATION - Industry Regulation. Lack of FDA requirements on statistical significance defeated investors' claims that corporation misled them by failing to disclose that study did not meet requirements.
Paige v. California	https://www.westlaw.com/Document/I19022a3b057f11dcaf8dafd7ee2b8b26/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	233 Fed.Appx. 646	May 16, 2007	LABOR AND EMPLOYMENT - Discrimination. Statistical evidence was insufficient to give rise to inference of race discrimination.
Stagi v. National R.R. Passenger Corp.	https://www.westlaw.com/Document/I67508d26ac6911df952a80d2993fba83/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	391 Fed.Appx. 133	August 16, 2010	LABOR AND EMPLOYMENT - Judgment. Issue as to whether employer's promotion requirement had disparate impact on female employees precluded summary judgment in Title VII action.
In re Zoloft (Sertraline Hydrochloride) Products Liability Litigation	https://www.westlaw.com/Document/I78de752047bf11e7b7978f65e9bf93b3/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	858 F.3d 787	June 02, 2017	PRODUCTS LIABILITY - Experts. District court did not abuse its discretion in excluding plaintiffs' expert testimony on causation.
Apsley v. Boeing Co.	https://www.westlaw.com/Document/Icfd3c704f09d11e1b11ea85d0b248d27/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Tenth Circuit.	691 F.3d 1184	August 27, 2012	LABOR AND EMPLOYMENT - Discrimination. Statistics showed only isolated discrimination, rather than pattern or practice under Age Discrimination in Employment Act.
In re Rigel Pharmaceuticals, Inc. Securities Litigation	https://www.westlaw.com/Document/I27cdfcc8f86211e1b60bb297d3d07bc5/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	697 F.3d 869	September 06, 2012	SECURITIES REGULATION - Fraud. Investor failed to adequately plead falsity of issuer's statements.
Woodfox v. Cain	https://www.westlaw.com/Document/Ib2cd5e42725411e4b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	772 F.3d 358	November 20, 2014	CRIMINAL JUSTICE - Habeas Corpus. State court's rejection of equal protection challenge to selection of grand jury foreperson was not entitled to deference.
City of Edinburgh Council v. Pfizer, Inc.	https://www.westlaw.com/Document/I3f2d0749edac11e39488c8f438320c70/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	754 F.3d 159	June 06, 2014	SECURITIES REGULATION - Fraud. Allegation that statements in press release were affirmatively false were insufficient to state claim of securities fraud.
POM Wonderful, LLC v. F.T.C.	https://www.westlaw.com/Document/I359fa5aca8b111e4b4bafa136b480ad2/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	777 F.3d 478	January 30, 2015	COMMERCIAL LAW - Advertising. Requirement in remedial order for clinical trial prior to advertising did not violate First Amendment.
Novo Nordisk A/S v. Caraco Pharmaceutical Laboratories, Ltd.	https://www.westlaw.com/Document/Ifbe0d11ed83411e28502bda794601919/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	719 F.3d 1346	June 18, 2013	PATENTS - Drugs. Patent related to treatment for non-insulin dependent diabetes was invalid for obviousness.
